Product Number,Material,Form,Choice,Grade,Finish,Surface,Quantity,Weight (t),Length (mm),Width (mm),Height (mm),Thickness (mm),Outer Diameter (mm),Wall Thickness (mm),Web Thickness (mm),Flange Thickness (mm),Certificates,Location
86258559,Special Steel,Slit Coils,2nd Choice,ZE1100,K,,1,2.946,,181,,1.945,,,,,,DE
48492523,Carbon Steel,Slit Coils,2nd Choice,C60S,NGW,,2,4.741,,261,,3.3,,,,,,DE
18095053,Special Steel,Slit Coils,2nd Choice,ZE1100,K,,1,3.33,,197,,0.8,,,,,,DE
59718397,Special Steel,Slit Coils,2nd Choice,16MnCr5,Cold Drawn / Soft (+LC),,1,1.68,,93,,2.05,,,,,,DE
93196655,Carbon Steel,Slit Coils,2nd Choice,DC04,Cold Drawn / Soft (+LC),,2,5.944,,344,,1.01,,,,,,DE
72177904,Special Steel,Slit Coils,2nd Choice,51CrV4,Cold Drawn / Soft (+LC),,2,3.648,,373.9,,1.9,,,,,,DE
93620871,Special Steel,Slit Coils,2nd Choice,ZE800,K,,2,6.736,,417,,0.78,,,,,,DE
16599062,Carbon Steel,Coils,2nd Choice,DC04,Cold Drawn / Soft (+LC),,1,5.317,,607,,1.475,,,,,,DE
88472906,Special Steel,Slit Coils,2nd Choice,ZE600,K,,2,6.93,,209,,1.782,,,,,,DE
79130089,Carbon Steel,Slit Coils,2nd Choice,DC01,C590,,1,6.004,,399,,4.265,,,,,,DE
66900326,Carbon Steel,Slit Coils,2nd Choice,C35E,Cold Drawn / Soft (+LC),,4,5.392,,156,,1.8,,,,,,DE
33383361,Carbon Steel,Slit Coils,2nd Choice,C45E,Cold Drawn / Soft (+LC),,1,1.31,,545,,1.109,,,,,,DE
31445050,Carbon Steel,Slit Coils,2nd Choice,DC04,Cold Drawn / Soft (+LC),,3,30.141,,565,,1.6,,,,,,DE
80264475,Carbon Steel,Slit Coils,2nd Choice,DC04,Cold Drawn / Soft (+LC),,1,2.376,,252,,1.617,,,,,,DE
21537927,Special Steel,Slit Coils,2nd Choice,ZE600,K,,2,7.374,,209,,1.782,,,,,,DE
63358965,Special Steel,Slit Coils,2nd Choice,ZE600,K,,2,6.972,,209,,1.782,,,,,,DE
45844842,Special Steel,Slit Coils,2nd Choice,ZE600,K,,1,2.334,,209,,1.782,,,,,,DE
98050429,Special Steel,Slit Coils,2nd Choice,ZE600,K,,1,3.166,,209,,1.782,,,,,,DE
66530717,Carbon Steel,Slit Coils,2nd Choice,DC04,Cold Drawn / Soft (+LC),,2,1.712,,195,,1.5,,,,,,DE
10478021,Carbon Steel,Slit Coils,2nd Choice,DC03,Cold Drawn / Soft (+LC),,4,1.732,,105,,1.5,,,,,,DE
32936212,Carbon Steel,Slit Coils,2nd Choice,DC03,Cold Drawn / Soft (+LC),,4,1.8,,105,,1.5,,,,,,DE
95697709,Carbon Steel,Coils,2nd Choice,C10E,Cold Drawn / Soft (+LC),,1,5.677,,646,,2.895,,,,,,DE
17041695,Carbon Steel,Slit Coils,2nd Choice,DC01,C590-K,,12,1.044,,30,,1.8,,,,,,DE
